,state_code,state_name,district_name,district_code,Dist2011,num_blocks
411,27,RAJASTHAN,JAIPUR,2712,110,13
412,27,RAJASTHAN,JAISALMER,2716,114,3
413,27,RAJASTHAN,JALORE,2718,116,8
414,27,RAJASTHAN,JHALAWAR,2732,129,6
415,27,RAJASTHAN,JHUNJHUNU,2705,103,7
416,27,RAJASTHAN,JODHPUR,2715,113,10
417,27,RAJASTHAN,KARAULI,2709,107,5
418,27,RAJASTHAN,KOTA,2730,127,5
419,27,RAJASTHAN,NAGAUR,2714,112,11
420,27,RAJASTHAN,PALI,2720,118,10
421,27,RAJASTHAN,PRATAPGARH,2733,131,5
422,27,RAJASTHAN,RAJSAMAND,2725,123,7
423,27,RAJASTHAN,SAWAI MADHOPUR,2710,108,5
424,27,RAJASTHAN,SIKAR,2713,111,8
425,27,RAJASTHAN,SIROHI,2719,117,5
426,27,RAJASTHAN,TONK,2722,120,6
427,27,RAJASTHAN,UDAIPUR,2726,130,11
428,28,SIKKIM,EAST DISTRICT,2802,244,2
429,28,SIKKIM,NORTH DISTRICT,2801,241,2
430,28,SIKKIM,SOUTH DISTRICT,2803,243,2
431,28,SIKKIM,WEST DISTRICT,2804,242,2
432,29,TAMIL NADU,ARIYALUR,2931,616,6
433,29,TAMIL NADU,COIMBATORE,2911,632,12
434,29,TAMIL NADU,CUDDALORE,2903,617,12
435,29,TAMIL NADU,DHARMAPURI,2909,630,8
436,29,TAMIL NADU,DINDIGUL,2922,612,14
437,29,TAMIL NADU,ERODE,2910,610,14
438,29,TAMIL NADU,KANCHIPURAM,2901,604,13
439,29,TAMIL NADU,KANNIYAKUMARI,2928,629,9
440,29,TAMIL NADU,KARUR,2917,613,8
441,29,TAMIL NADU,KRISHNAGIRI,2930,631,10
442,29,TAMIL NADU,MADURAI,2920,623,13
443,29,TAMIL NADU,NAGAPATTINAM,2914,618,11
444,29,TAMIL NADU,NAMAKKAL,2908,609,15
445,29,TAMIL NADU,PERAMBALUR,2918,615,4
446,29,TAMIL NADU,PUDUKKOTTAI,2919,621,13
447,29,TAMIL NADU,RAMANATHAPURAM,2923,626,11
448,29,TAMIL NADU,SALEM,2907,608,20
449,29,TAMIL NADU,SIVAGANGAI,2925,622,12
450,29,TAMIL NADU,THANJAVUR,2913,620,14
451,29,TAMIL NADU,THE NILGIRIS,2912,611,4
452,29,TAMIL NADU,THENI,2921,624,8
453,29,TAMIL NADU,THIRPPUR,2932,633,13
454,29,TAMIL NADU,THOOTHUKKUDI,2927,627,12
455,29,TAMIL NADU,TIRUCHIRAPPALLI,2916,614,14
456,29,TAMIL NADU,TIRUNELVELI,2926,628,19
457,29,TAMIL NADU,TIRUVALLUR,2902,602,14
458,29,TAMIL NADU,TIRUVANNAMALAI,2906,606,18
459,29,TAMIL NADU,TIRUVARUR,2915,619,10
460,29,TAMIL NADU,VELLORE,2905,605,20
461,29,TAMIL NADU,VILLUPURAM,2904,607,22
462,29,TAMIL NADU,VIRUDHUNAGAR,2924,625,11
463,30,TRIPURA,DHALAI,3004,291,8
464,30,TRIPURA,NORTH TRIPURA,3003,292,8
465,30,TRIPURA,SOUTH TRIPURA,3002,290,8
466,30,TRIPURA,WEST TRIPURA,3001,289,9
467,31,UTTAR PRADESH,AGRA,3120,146,15
468,31,UTTAR PRADESH,ALIGARH,3118,143,12
469,31,UTTAR PRADESH,ALLAHABAD,3145,175,20
470,31,UTTAR PRADESH,AMBEDKAR NAGAR,3178,178,9
471,31,UTTAR PRADESH,AURAIYA,3169,162,7
472,31,UTTAR PRADESH,AZAMGARH,3157,191,22
473,31,UTTAR PRADESH,BAGHPAT,3165,139,6
474,31,UTTAR PRADESH,BAHRAICH,3146,180,14
475,31,UTTAR PRADESH,BALLIA,3159,193,17
476,31,UTTAR PRADESH,BALRAMPUR,3175,182,9
477,31,UTTAR PRADESH,BANDA,3142,170,8
478,31,UTTAR PRADESH,BARABANKI,3148,176,15
479,31,UTTAR PRADESH,BAREILLY,3125,150,15
480,31,UTTAR PRADESH,BASTI,3153,185,14
481,31,UTTAR PRADESH,BIJNOR,3109,134,11
482,31,UTTAR PRADESH,BUDAUN,3124,149,15
483,31,UTTAR PRADESH,BULANDSHAHR,3117,142,16
484,31,UTTAR PRADESH,CHANDAULI,3171,196,9
485,31,UTTAR PRADESH,CHITRAKOOT,3177,171,5
486,31,UTTAR PRADESH,DEORIA,3155,190,16
487,31,UTTAR PRADESH,ETAH,3122,201,8
488,31,UTTAR PRADESH,ETAWAH,3135,161,8
489,31,UTTAR PRADESH,FAIZABAD,3149,177,11
490,31,UTTAR PRADESH,FARRUKHABAD,3134,159,7
491,31,UTTAR PRADESH,FATEHPUR,3143,172,13
492,31,UTTAR PRADESH,FIROZABAD,3121,147,9
493,31,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,3164,141,4
494,31,UTTAR PRADESH,GHAZIABAD,3116,140,4
495,31,UTTAR PRADESH,GHAZIPUR,3160,195,16
496,31,UTTAR PRADESH,GONDA,3147,183,16
497,31,UTTAR PRADESH,GORAKHPUR,3154,188,19
498,31,UTTAR PRADESH,HAMIRPUR,3141,168,7
499,31,UTTAR PRADESH,HARDOI,3130,155,19
500,31,UTTAR PRADESH,JALAUN,3138,165,9
501,31,UTTAR PRADESH,JAUNPUR,3158,194,21
502,31,UTTAR PRADESH,JHANSI,3139,166,8
503,31,UTTAR PRADESH,JYOTIBA PHOOLE NAGAR,3167,137,6
